Item Code,Supplier ID
EBIKE-0001,SUP-7171
BIKE-0002,SUP-9131
COMP-0001,SUP-3599
COMP-0002,SUP-3599
COMP-0003,SUP-9527
COMP-0004,SUP-2583
COMP-0005,SUP-4491
COMP-0006,SUP-3249
COMP-0007,SUP-1186
COMP-0008,SUP-8134
COMP-0009,SUP-1347
COMP-0010,SUP-8754
COMP-0011,SUP-5367
COMP-0012,SUP-7559
COMP-0013,SUP-7885
COMP-0014,SUP-9625
COMP-0015,SUP-6897
COMP-0016,SUP-9625
COMP-0017,SUP-3249
COMP-0018,SUP-9071
COMP-0019,SUP-9625
COMP-0020,SUP-5915
COMP-0021,SUP-1115
COMP-0022,SUP-7432
COMP-0023,SUP-9071
COMP-0024,SUP-1115
COMP-0025,SUP-1115
COMP-0026,SUP-6137
COMP-0027,SUP-8781
COMP-0028,SUP-7185
COMP-0029,SUP-7042
COMP-0030,SUP-2661
COMP-0031,SUP-9123
COMP-0032,SUP-7569
COMP-0033,SUP-4365
COMP-0034,SUP-4108
COMP-0035,SUP-9123
COMP-0036,SUP-8134
COMP-0037,SUP-3829
COMP-0038,SUP-1115
COMP-0039,SUP-8754
COMP-0040,SUP-5273
COMP-0041,SUP-7331
COMP-0042,SUP-9946
COMP-0043,SUP-7432
COMP-0044,SUP-2583
COMP-0045,SUP-4108
COMP-0046,SUP-2661
COMP-0047,SUP-1347
COMP-0048,SUP-4770
COMP-0050,SUP-4770
COMP-0056,SUP-3599
COMP-0055,SUP-5915
COMP-0054,SUP-6897
COMP-0053,SUP-7559
COMP-0052,SUP-5273
COMP-0051,SUP-8754
